ID	HGNC.symbol	rmspe.ratio.avg	initial.predictor.n	selected.predictor.n	predictor	estimate	estimate.sd	best.site.qv	cor.estimate.best.site.qv	cor.pv
ID2	NRAS	1.26	16	16	rna	0.0313	0.00235	NA	-0.61	0.0158
ID2	NRAS	1.26	16	16	ID107|RBM8A	0.0265	0.00248	0.143	-0.61	0.0158
ID2	NRAS	1.26	16	16	ID260|RBM4	0.0795	0.00415	0.00878	-0.61	0.0158
ID2	NRAS	1.26	16	16	ID983|EIF4B	-0.0117	0.00327	0.193	-0.61	0.0158
ID2	NRAS	1.26	16	16	ID998|SNRPA	0.0379	0.00117	0.0694	-0.61	0.0158
ID2	NRAS	1.26	16	16	ID2056|TARDBP	0.039	0.00171	0.0598	-0.61	0.0158
ID2	NRAS	1.26	16	16	ID2455|U2AF2	0.0421	0.00112	0.0215	-0.61	0.0158
ID2	NRAS	1.26	16	16	ID3144|DAZAP1	0.0114	0.0015	0.157	-0.61	0.0158
ID2	NRAS	1.26	16	16	ID3437|PTBP1	0.034	0.00143	0.157	-0.61	0.0158
ID2	NRAS	1.26	16	16	ID3509|HNRNPA1	0.088	0.00359	0.117	-0.61	0.0158
ID2	NRAS	1.26	16	16	ID3816|EIF2S1	0.031	0.00179	0.158	-0.61	0.0158
ID2	NRAS	1.26	16	16	ID5866|HNRNPH1	0.0592	0.00371	0.0108	-0.61	0.0158
ID2	NRAS	1.26	16	16	ID10395|SRSF2	0.0182	0.00114	0.0681	-0.61	0.0158
ID2	NRAS	1.26	16	16	ID10525|HNRNPF	0.0369	0.00164	0.0108	-0.61	0.0158
ID2	NRAS	1.26	16	16	ID10589|SRSF1	0.0736	0.00313	0.0563	-0.61	0.0158
ID2	NRAS	1.26	16	16	ID23008|RBM14	0.0795	0.00415	0.00878	-0.61	0.0158
ID5	PPP2R5D	1.34	23	23	rna	0.223	0.0205	NA	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID260|RBM4	0.0523	0.00279	0.168	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID657|ACO1	0.0719	0.00742	0.155	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID713|G3BP2	-0.122	0.0166	0.159	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID980|PCBP2	0.0876	0.00522	0.081	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID983|EIF4B	0.184	0.0125	0.0997	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID998|SNRPA	-0.0878	0.0173	0.064	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID1328|PCBP1	0.0826	0.0112	0.161	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID1423|SYNCRIP	0.146	0.00538	0.155	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID2227|HNRNPL	0.033	0.00263	0.0601	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID3437|PTBP1	0.234	0.0179	0.0954	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID3509|HNRNPA1	-0.052	0.00296	0.123	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID3576|HNRNPK	0.189	0.0181	0.0375	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID4041|SNRNP70	0.0236	0.00547	0.0749	0.0441	0.845
