ucsc.5utr	ucsc.5utr.chr	ucsc.5utr.start	ucsc.5utr.end	ucsc.3utr	ucsc.3utr.chr	ucsc.3utr.start	ucsc.3utr.end
JB137816	NA	NA	NA	NA	uc022bqo.2	chrM	651	674
DQ582265	NA	NA	NA	NA	uc004cor.1	chrM	1604	1634
TVAS5	NA	NA	NA	NA	uc004cos.5	chrM	1844	4264
BC018860	NA	NA	NA	NA	uc031tga.1	chrM	5905	7439
OK/SW-cl.16	NA	NA	NA	NA	uc011mfi.2	chrM	7587	9208
AD 1	NA	NA	NA	NA	uc022bqu.2	chrM	10060	10404
STRF6	NA	NA	NA	NA	uc004cov.5	chrM	10471	12138
DQ584698	NA	NA	NA	NA	uc004cow.2	chrM	12208	12264
MTND5	NA	NA	NA	NA	uc004cox.4	chrM	12908	14149
cytochrome b	NA	NA	NA	NA	uc022bqw.1	chrM	14857	15888
JA429831	uc022bqq.1	chrM	5586	5606	NA	NA	NA	NA
JB137814	uc022bqr.1	chrM	5691	5714	NA	NA	NA	NA
DQ590013	uc021ybm.1	chr5	93905172	93905195	NA	NA	NA	NA
tRNA Pro	uc022bqx.1	chrM	15960	16024	NA	NA	NA	NA
ADAMTSL2	uc011mfg.1	chr9_gl000201_random	3905	9448	uc011mdl.2	chr9	136439987	136440641
BAGE1	uc011mgu.1	chrUn_gl000237	1	2686	NA	NA	NA	NA
PNRC2	uc001big.3	chr1	24286301	24287947	uc001big.3	chr1	24288368	24289949
SRSF10	uc001bij.2	chr1	24292937	24306953	uc021oir.1	chr1	24295573	24297631
LOC100288255	uc003izv.3	chr4	190948360	190948412	uc003izv.3	chr4	190945523	190946715
KIR3DL3	uc002qgu.1	chr19	55235984	55236001	uc002qgu.1	chr19	55247564	55248003
KIR2DS5	uc002qtt.2	chr19_gl000209_random	21911	21939	uc002qtt.2	chr19_gl000209_random	112481	113132
KIR2DL2	uc002qts.2	chr19_gl000209_random	21911	21939	uc002qts.2	chr19_gl000209_random	35939	36449
KIR2DL4	uc010yfl.2	chr19	55297774	55297806	uc010evf.3	chr19_gl000209_random	59554	68123
KIR3DS1	uc010evg.1	chr19_gl000209_random	70097	70107	uc010yic.2	chr19_gl000209_random	83980	84658
LOC100287534	uc021vbn.2	chr19	55304500	55315106	uc021vbn.2	chr19	55325157	55325972
