ID	IPI	HGNC.symbol	Ensembl.Gene.ID	Chromosome.Name	Gene.Start..bp.	Gene.End..bp.	Strand
ID1	IPI00745242	GUCA1A	ENSG00000048545	6	42123144	42147794	1
ID2	IPI00013183	UBA7	ENSG00000182179	3	49842640	49851379	-1
ID3	IPI00219099	THRA	ENSG00000126351	17	38214543	38250120	1
ID4	IPI01015011	PTPN21	ENSG00000070778	14	88932122	89021077	-1
ID5	IPI00009309	CCL5	ENSG00000161570	17	34198495	34207797	-1
ID6	IPI01009826	CYP2E1	ENSG00000130649	10	135333910	135374724	1
ID7	IPI00289329	EPHB3	ENSG00000182580	3	184279572	184300197	1
ID8	IPI00792208	ESRRA	ENSG00000173153	11	64073044	64084215	1
ID10	IPI00291007	SCARB1	ENSG00000073060	12	125261402	125367214	-1
ID11	IPI00029048	TTLL12	ENSG00000100304	22	43562628	43583139	-1
ID12	NA	LINC00152	ENSG00000222041	2	87754887	87906324	1
ID13	IPI00103636	WFDC2	ENSG00000101443	20	44098346	44110172	1
ID14	IPI00003479	MAPK1	ENSG00000100030	22	22108789	22221970	-1
ID15	IPI00748886	ADAM32	ENSG00000197140	8	38964509	39142430	1
ID16	IPI00064710	SPATA17	ENSG00000162814	1	217804666	218045038	1
ID17	NA	PRR22	ENSG00000212123	19	5782971	5784776	-1
ID18	IPI00479912	PXK	ENSG00000168297	3	58318607	58411748	1
ID19	IPI00001985	VPS18	ENSG00000104142	15	41186628	41196173	1
ID20	IPI00062697	MSANTD3	ENSG00000066697	9	103189438	103213511	1
ID21	IPI01018362	SLC46A1	ENSG00000076351	17	26721661	26734215	-1
ID22	IPI00879839	TIMD4	ENSG00000145850	5	156346293	156390266	-1
ID23	IPI00927542	SLC39A5	ENSG00000139540	12	56623833	56631630	1
ID24	IPI00967547	ZDHHC11	ENSG00000188818	5	710471	851101	-1
ID25	IPI00059139	ATP6V1E2	ENSG00000250565	2	46717889	46769696	-1
ID26	NA	AFG3L1P	ENSG00000223959	16	90038994	90068569	1
ID27	IPI00216780	CILP2	ENSG00000160161	19	19649057	19657468	1
ID28	IPI00876928	PIGX	ENSG00000163964	3	196366646	196462878	1
ID29	IPI00894168	TMEM196	ENSG00000173452	7	19758933	19813221	-1
ID30	IPI00305715	SLC39A13	ENSG00000165915	11	47428683	47438047	1
ID31	IPI00168902	BEST4	ENSG00000142959	1	45249257	45253377	-1
ID33	IPI00791485	CORO6	ENSG00000167549	17	27941774	27949925	-1
ID34	IPI00059187	TMEM106A	ENSG00000184988	17	41363854	41372061	1
ID35	IPI00414597	ALG10	ENSG00000139133	12	34175216	34182629	1
ID36	IPI00827930	TTC39C	ENSG00000168234	18	21572737	21715574	1
ID37	IPI00180404	NEXN	ENSG00000162614	1	78354198	78409580	1
ID38	IPI00783753	C15orf40	ENSG00000169609	15	83657193	83680393	-1
ID39	IPI01026501	RAX2	ENSG00000173976	19	3769087	3772233	-1
ID40	IPI00022791	MFAP3	ENSG00000037749	5	153418466	153600038	1
ID41	IPI00015990	EYA3	ENSG00000158161	1	28296855	28415207	-1
ID42	IPI00103387	GIMAP1	ENSG00000213203	7	150413645	150421372	1
ID43	IPI00016000	KLK8	ENSG00000129455	19	51499263	51505967	-1
ID44	IPI01021450	CCDC65	ENSG00000139537	12	49297893	49325623	1
ID45	IPI00154822	FAM122C	ENSG00000156500	X	133930819	133988640	1
ID46	IPI00910225	FAM122C	ENSG00000156500	X	133930819	133988640	1
ID47	IPI00065428	CCDC11	ENSG00000172361	18	47753563	47792892	-1
ID48	IPI00419218	ARMCX4	ENSG00000196440	X	100673275	100788446	1
ID49	IPI00166084	RBBP6	ENSG00000122257	16	24549014	24584184	1
ID50	IPI00382395	CENPBD1	ENSG00000177946	16	90036206	90038942	-1
ID51	IPI00332510	TRIOBP	ENSG00000100106	22	38093011	38172563	1
ID52	IPI00302313	CATSPER1	ENSG00000175294	11	65784223	65793988	-1
ID53	IPI00916830	HOXD4	ENSG00000170166	2	177015950	177017954	1
ID54	IPI00011923	GSC	ENSG00000133937	14	95234553	95236562	-1
ID55	IPI01021455	SP7	ENSG00000170374	12	53720362	53739099	-1
ID56	IPI00183153	PDE7A	ENSG00000205268	8	66629745	66754557	-1
ID57	IPI00797153	CNOT7	ENSG00000198791	8	17086737	17104387	-1
ID58	IPI00852997	CRYZL1	ENSG00000205758	21	34961647	35016232	-1
ID59	IPI00295681	PRSS33	ENSG00000103355	16	2833954	2837949	-1
ID60	IPI00171000	C19orf26	ENSG00000099625	19	1228286	1238026	-1
ID61	IPI00914651	MCMDC2	ENSG00000178460	8	67782984	67834283	1
ID62	NA	TIRAP	ENSG00000150455	11	126152960	126168740	1
ID63	IPI00056309	LEAP2	ENSG00000164406	5	132208014	132210738	1
ID64	IPI00073713	MSI2	ENSG00000153944	17	55333212	55762046	1
ID65	IPI00044745	SCIN	ENSG00000006747	7	12610203	12693228	1
ID66	IPI00002606	SCIN	ENSG00000006747	7	12610203	12693228	1
ID67	IPI00855932	CTCFL	ENSG00000124092	20	56071035	56100708	-1
ID68	IPI00166127	C4orf33	ENSG00000151470	4	130014472	130037795	1
ID69	IPI00064209	ZNF333	ENSG00000160961	19	14800613	14844558	1
ID71	IPI00218086	RDH10	ENSG00000121039	8	74206847	74237516	1
ID72	NA	RDH10	ENSG00000121039	8	74206847	74237516	1
ID73	IPI00942141	SRSF12	ENSG00000154548	6	89805678	89827800	-1
ID74	IPI00217863	FAM71A	ENSG00000162771	1	212797789	212800120	1
ID75	IPI00964922	GAPT	ENSG00000175857	5	57787262	57792917	1
ID77	IPI00295855	C8orf47	ENSG00000177459	8	99076539	99105838	1
ID78	IPI00796328	C8orf47	ENSG00000177459	8	99076539	99105838	1
ID79	IPI00297462	C1orf65	ENSG00000178395	1	223566715	223568812	1
ID80	IPI00217897	ENTHD1	ENSG00000176177	22	40139049	40289868	-1
ID81	IPI00044584	TSSK3	ENSG00000162526	1	32817122	32829913	1
ID82	IPI00184996	WFDC6	ENSG00000243543	20	44162835	44168134	-1
ID83	IPI00880140	CLEC12A	ENSG00000172322	12	10103915	10148293	1
ID84	IPI00016859	BRF1	ENSG00000185024	14	105675623	105781926	-1
ID85	IPI00784407	C15orf27	ENSG00000169758	15	76352178	76521462	1
ID86	IPI00152477	GRIK1-AS2	ENSG00000183653	21	30968360	31003067	1
ID87	IPI00152482	CALML6	ENSG00000169885	1	1846266	1848735	1
ID88	IPI00168282	NLRP5	ENSG00000171487	19	56511092	56573179	1
ID89	IPI00216331	ODF4	ENSG00000184650	17	8243182	8249364	1
ID90	IPI00798311	ODF4	ENSG00000184650	17	8243182	8249364	1
ID91	IPI00166202	CLEC4F	ENSG00000152672	2	71035775	71047732	-1
ID93	IPI00168790	WFDC9	ENSG00000180205	20	44236578	44259907	-1
